项目,文件名,日期,扩展名,文档类型,描述,页数或行数,字数,工序阶段,脱敏风险,摘要,置信度
内部群,岚丹 房产税 税收完税证明2026-05-19 14ː59ː56.pdf,260520,pdf,票据,,0,0,无法判断,金额报价,,
内部群,贷款明细表2026.01.xls,260130,xls,其他,,0,0,无法判断,无,,
内部群,26年3月新疆项目开票165404.21元，缴纳增值税及附加税3338.44元 税收完税证明2026-04-07 17ː38ː48.pdf,260407,pdf,票据,,0,0,无法判断,金额报价,,
内部群,理财产品登记表.xls,260310,xls,其他,,0,0,无法判断,无,,
内部群,内部_证明材料_260518_01.pdf,260518,pdf,证明材料,证明材料,0,0,无法判断,无,,高
内部群,26年3月新疆项目开票20400元，缴纳增值税及附加税411.75元  税收完税证明2026-04-07 17ː43ː59.pdf,260407,pdf,票据,,0,0,无法判断,金额报价,,
内部群,26年4月 武汉开明 本地缴纳税金 完税证明 PDF合并.pdf,260518,pdf,票据,,0,0,无法判断,无,,
内部群,贷款明细表2026.02.xls,260228,xls,其他,,0,0,无法判断,无,,
内部群,内部_资金明细_260516_01.xls,260516,xls,明细账,资金明细,0,0,无法判断,金额报价,,高
内部群,26年3月 重庆项目开票11895元，缴纳增值税及附加229.17元 完税证明.pdf,260407,pdf,票据,,0,0,无法判断,金额报价,,
内部群,1.16付款申请表.xlsx,260116,xlsx,票据,付款单据,,,无法判断,无,,高
内部群,岚丹 5月份缴纳4月份 税金 完税证明  PDF合并.pdf,260519,pdf,票据,,0,0,无法判断,金额报价,,
内部群,26年5月缴纳曦悦4月份增值税及附加  印花税  完税证明  PDF合并.pdf,260518,pdf,票据,,0,0,无法判断,无,,
内部群,四川项目开票228900元，缴纳增值税及附加4704元 税收完税证明2026-04-07 18ː06ː27.pdf,260407,pdf,票据,,0,0,无法判断,金额报价,,
安装检修群,2026.4.6工日志.doc,260406,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.2工日志.doc,260402,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.5工日志.doc,260405,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.13施工日志.doc.doc,260413,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,安装检修_工程方案_260520_01.docx,260520,docx,施工方案,工程方案,0,3341,无法判断,无,武汉开明建材厂协力安全管理审查问题整改方案 为落实建材厂协力武汉开明安全管理全流程审查发现的问题整改，压实安全生产主体责任，消除各环节安全隐患，建立闭环管理机制，特制定本整改方案，明确 整改措施、责任,高
安装检修群,2026.4.11施工日志.doc,260411,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.16工日志.doc,260416,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.3.30施工日志.doc,260330,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.18工日志.doc,260418,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.8工日志(1).doc,260408,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.12施工日志.doc.doc,260412,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.4工日志.doc,260404,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.3工日志.doc,260403,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.14施工日志.doc.doc,260414,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.1工日志.doc,260401,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,2026.4.9工日志.doc,260409,doc,工作日志,工作日志,,,无法判断,无,,高
安装检修群,关于建材厂煤气管道泄漏治理项目的工作联系函0330.pdf,260331,pdf,其他,,0,0,无法判断,客户名称,,
安装检修群,安装检修_验收报告_260520_01.docx,260520,docx,验收报告,验收报告,0,3700,复检,无,建材厂协力武汉开明安全管理全流程审查报告 一、审查总则 1.审查目的 规范武汉开明作为公司协力厂商的全流程安全管理，压实其安全生产主体责任，排查准入、人员、现场、应急等各环节安全隐患，建立闭环管理机制,高
安装检修群,安装检修_合同文本_260427_01.xlsx,260427,xlsx,合同,合同文本,0,1350,无法判断,客户名称,HA-W610-045 附件2 违约处罚单 页次：2/7 合同名称 建材厂石灰回转窑耐材修复项目(长约) 合同编号 R09W92504036W6AF 供应商 中钢洛耐科技股份有限公司 违约日期 202,高
安装检修群,2026.3.31施工日志.doc,260331,doc,工作日志,工作日志,,,无法判断,无,,高
内部群,20260224-开工仪式座谈会会议纪要.docx,260226,docx,工作日志,会议纪要,,,无法判断,无,,高
内部群,项目详情进度表（1.7）(1)(1)(1).xlsx,260224,xlsx,其他,,,,无法判断,无,,
其他群,批量转账明细2608101652401481835264681.pdf,260810,pdf,其他,,0,0,无法判断,无,,
其他群,55eb3dd7ad19be0de41bb4d537c726eb.jpg,260213,jpg,其他,,0,0,无法判断,无,,
其他群,2.6湖北双环164605.7元.pdf,260206,pdf,其他,,0,0,无法判断,金额报价,,
其他群,新疆宜化武汉36460.4元.pdf,260213,pdf,其他,,0,0,无法判断,金额报价,,
其他群,新疆宜化24672.pdf,260205,pdf,其他,,0,0,无法判断,无,,
其他群,内蒙古宜化63780元.pdf,260706,pdf,其他,,0,0,无法判断,金额报价,,
其他群,内蒙古宜化72254元.pdf,260706,pdf,其他,,0,0,无法判断,金额报价,,
其他群,43069c08d0bb9bb0646eca58aed95bcb.jpg,260212,jpg,其他,,0,0,无法判断,无,,
其他群,赣锋锂业3675.pdf,260206,pdf,其他,,0,0,无法判断,无,,
其他群,湖北岚丹建设工程有限公司（等1户）_8111501013501068761（等1户）_共8笔.pdf,260810,pdf,其他,,0,0,无法判断,客户名称,,
其他群,466dfc119967fea0cc37513fe60ed79e.jpg,260212,jpg,其他,,0,0,无法判断,无,,
其他群,d2b303aaece0329c0e3d6305e2660603.jpg,260212,jpg,其他,,0,0,无法判断,无,,
其他群,新疆宜化补发工资98306.1元.pdf,260213,pdf,考勤薪酬,工资表,0,0,无法判断,金额报价,,高
其他群,池州恒鑫7454.pdf,260206,pdf,其他,,0,0,无法判断,无,,
其他群,湖北双环25.12.18外协工资.pdf,251218,pdf,考勤薪酬,工资表,0,0,无法判断,无,,高
其他群,湖北双环工资.pdf,260612,pdf,考勤薪酬,工资表,0,0,无法判断,无,,高
其他群,批量转账明细2607311726211441823660695.pdf,260731,pdf,其他,,0,0,无法判断,无,,
其他群,9ec17a243685020a9e3e45a20bb236ec.jpg,260213,jpg,其他,,0,0,无法判断,无,,
其他群,内蒙古宜化128076.pdf,260709,pdf,其他,,0,0,无法判断,无,,
其他群,批量转账明细2512261353371481539793011.pdf,251226,pdf,其他,,0,0,无法判断,无,,
其他群,湖北双环21570.pdf,260206,pdf,其他,,0,0,无法判断,无,,
其他群,dc287e98704ced3d9880f686f0b4bcbb.jpg,260212,jpg,其他,,0,0,无法判断,无,,
其他群,批量转账明细2608141608471441840663766.pdf,260814,pdf,其他,,0,0,无法判断,无,,
其他群,新疆宜化64379元.pdf,260205,pdf,其他,,0,0,无法判断,金额报价,,
内部群,内部_合同文本_260731_01.xlsx,260731,xlsx,合同,合同文本,0,11190,无法判断,金额报价,申请编号(费用报销) 费用明细编号 创建时间 审批状态 创建人 费用项目 费用说明 含税金额(元) 已退 退款时间 使用金额 未退 业务类型 成本清单明细 报销人(费用报销) 备注情况 关联主合同(费,高
内部群,周末值班表+卫生值日表(7月).xlsx,260717,xlsx,其他,,0,713,无法判断,无,周末值班表 7月份 日期 星期 李权智 熊伟 徐赛尔 黄婷 办公卫生周值日排班表 周六 班 部门：综合部 2026 年 4月 6日 周日 星期一 星期二 星期四 备注 公共区域 熊伟、李权志 徐赛尔、,
内部群,内部_合同文本_260814_01.xlsx,260814,xlsx,合同,合同文本,0,11553,无法判断,金额报价,申请编号(费用报销) 费用明细编号 创建时间 审批状态 创建人 费用项目 费用说明 含税金额(元) 已退 退款时间 使用金额 未退 业务类型 成本清单明细 报销人(费用报销) 备注情况 关联主合同(费,高
内部群,内部_合同文本_260724_01.xlsx,260724,xlsx,合同,合同文本,0,11141,无法判断,金额报价,申请编号(费用报销) 费用明细编号 创建时间 审批状态 创建人 费用项目 费用说明 含税金额(元) 已退 退款时间 使用金额 未退 业务类型 成本清单明细 报销人(费用报销) 备注情况 关联主合同(费,高
内部群,内部_合同文本_260717_01.xlsx,260717,xlsx,合同,合同文本,0,11075,无法判断,金额报价,申请编号(费用报销) 费用明细编号 创建时间 审批状态 创建人 费用项目 费用说明 含税金额(元) 已退 退款时间 使用金额 未退 业务类型 成本清单明细 报销人(费用报销) 备注情况 关联主合同(费,高
内部群,内部_发票凭证_260807_01.xlsx,260807,xlsx,票据,发票凭证,0,20000,无法判断,金额报价,其他应收明细表 序号 编号 月份 账龄 支付日期 部门 责任人 经办人 公司名称 公司名称2 支付金额 公司 支付方式 支付类型 退款金额/&#10;发票冲账 未退余额 退款时间 退回月份 5.31目,高
内部群,内部_资金明细_260716_01.xlsx,260716,xlsx,明细账,资金明细,0,6345,无法判断,金额报价,申请编号 关联主合同 收款账户 收款单位 累计报销金额 本周支付 支付状态 审批状态 当前审批人 报销说明 FYBX-20260714-1080 应城市新都化工有限责任公司合成公司日产1500吨大颗粒,高
内部群,内部_发票凭证_260724_01.xlsx,260724,xlsx,票据,发票凭证,0,20000,无法判断,金额报价,其他应收明细表 序号 编号 月份 账龄 支付日期 部门 责任人 经办人 公司名称 公司名称2 支付金额 公司 支付方式 支付类型 退款金额/&#10;发票冲账 未退余额 退款时间 退回月份 5.31目,高
内部群,内部_合同文本_260716_01.xlsx,260716,xlsx,合同,合同文本,0,4254,无法判断,金额报价,双方核对信息汇总2026.07.07 分项 项目 截止日期 张凯华意向 核对中我们提出 差额 个人建议 注明 金额 产值 合同产值 按3个点扣除 扣除9个点的税 可以按张凯华意思来 现场零星点工 全额,高
内部群,内部_付款单据_260730_01.xlsx,260730,xlsx,票据,付款单据,0,18012,无法判断,金额报价,申请编号 创建人 申请日期 支付日期 关联主合同 收款账户 收款单位 实际支付金额 累计报销金额 计划付款 支付状态 审批状态 当前审批人 报销说明 其他附件上传 入库单附件上传 发票附件上传 合同附,高
内部群,内部_工资表_260710_01.xlsx,260710,xlsx,考勤薪酬,工资表,0,10933,无法判断,金额报价,申请编号(费用报销) 费用明细编号 创建时间 审批状态 创建人 费用项目 费用说明 含税金额(元) 已退 退款时间 使用金额 未退 业务类型 成本清单明细 报销人(费用报销) 备注情况 关联主合同(费,高
内部群,内部_付款单据_260731_01.xlsx,260731,xlsx,票据,付款单据,0,7848,无法判断,金额报价,申请编号 关联主合同 收款账户 收款单位 累计报销金额 本周支付 支付状态 审批状态 当前审批人 报销说明 FYBX-20260727-1124 湖北双环零星维修项目施工合同（2025） 林全意 未支,高
内部群,内部_发票凭证_260814_01.xlsx,260814,xlsx,票据,发票凭证,0,20000,无法判断,金额报价,其他应收明细表 序号 编号 月份 账龄 支付日期 部门 责任人 经办人 公司名称 公司名称2 支付金额 公司 支付方式 支付类型 退款金额/&#10;发票冲账 未退余额 退款时间 退回月份 5.31目,高
内部群,内部_资金明细_260723_01.xlsx,260723,xlsx,明细账,资金明细,0,7226,无法判断,金额报价,申请编号 关联主合同 收款账户 收款单位 累计报销金额 本周支付 支付状态 审批状态 当前审批人 报销说明 FYBX-20260714-1080 应城市新都化工有限责任公司合成公司日产1500吨大颗粒,高
内部群,内部_发票凭证_260731_01.xlsx,260731,xlsx,票据,发票凭证,0,20000,无法判断,金额报价,其他应收明细表 序号 编号 月份 账龄 支付日期 部门 责任人 经办人 公司名称 公司名称2 支付金额 公司 支付方式 支付类型 退款金额/&#10;发票冲账 未退余额 退款时间 退回月份 5.31目,高
内部群,周末值班表+卫生值日表(8月).xlsx,260731,xlsx,其他,,0,725,无法判断,无,周末值班表 8月份 日期 星期 李权智 熊伟 徐赛尔 黄婷 办公卫生周值日排班表 周六 班 部门：综合部 2026 年 4月 6日 周日 星期一 星期二 星期四 备注 公共区域 熊伟、李权志 徐赛尔、,
内部群,内部_合同文本_260807_01.xlsx,260807,xlsx,合同,合同文本,0,11301,无法判断,金额报价,申请编号(费用报销) 费用明细编号 创建时间 审批状态 创建人 费用项目 费用说明 含税金额(元) 已退 退款时间 使用金额 未退 业务类型 成本清单明细 报销人(费用报销) 备注情况 关联主合同(费,高
内部群,周末值班表+卫生值日表(7月)__msgiBQTf7lIDd2Xh2SSLhTQEg==.xlsx,260710,xlsx,其他,,0,713,无法判断,无,周末值班表 7月份 日期 星期 李权智 熊伟 徐赛尔 黄婷 办公卫生周值日排班表 周六 班 部门：综合部 2026 年 4月 6日 周日 星期一 星期二 星期四 备注 公共区域 熊伟、李权志 徐赛尔、,
内部群,内部_发票凭证_260717_01.xlsx,260717,xlsx,票据,发票凭证,0,20000,无法判断,金额报价,其他应收明细表 序号 编号 月份 账龄 支付日期 部门 责任人 经办人 公司名称 公司名称2 支付金额 公司 支付方式 支付类型 退款金额/&#10;发票冲账 未退余额 退款时间 退回月份 5.31目,高
内部群,内部_发票凭证_260710_01.xlsx,260710,xlsx,票据,发票凭证,0,20000,无法判断,金额报价,其他应收明细表 序号 编号 月份 账龄 支付日期 部门 责任人 经办人 公司名称 公司名称2 支付金额 公司 支付方式 支付类型 退款金额/&#10;发票冲账 未退余额 退款时间 退回月份 5.31目,高
内部群,内部_付款单据_260713_01.xlsx,260713,xlsx,票据,付款单据,0,716,无法判断,金额报价,申请编号 关联主合同 收款账户 收款单位 累计报销金额 支付状态 审批状态 当前审批人 报销说明 FYBX-20260713-1078 应城市新都化工有限责任公司联碱厂雨污分 流项目 宋文波 未支付 ,高
内部群,内部_资金明细_260709_01.xlsx,260709,xlsx,明细账,资金明细,0,5151,无法判断,金额报价,申请编号 关联主合同 收款账户 收款单位 累计报销金额 本周支付 支付状态 审批状态 当前审批人 报销说明 FYBX-20260708-1050 应城市新都化工有限责任公司合成公司日产1500吨大颗粒,高
内部群,内部_付款单据_260813_01.xlsx,260813,xlsx,票据,付款单据,0,8828,无法判断,金额报价,申请编号 关联主合同 收款账户 收款单位 累计报销金额 本周支付 支付状态 审批状态 当前审批人 报销说明 FYBX-20260806-1188 新疆宜化4#5#电石炉技改项目安装工程 胡磊 未支付 ,高
内部群,内部_付款单据_260806_01.xlsx,260806,xlsx,票据,付款单据,0,6904,无法判断,金额报价,申请编号 关联主合同 收款账户 收款单位 累计报销金额 本周支付 支付状态 审批状态 当前审批人 报销说明 FYBX-20260730-1144 新疆宜化4#5#电石炉技改项目安装工程 石小伟 未支付,高
水泥群,脚手架统计及检修人力计划.xls,260124,xls,清单,统计表,,,无法判断,无,,高
水泥群,4、2024安全管理制度、安全生产责任制、安全操作规程、应急预案+武汉开明(1).pdf,260130,pdf,其他,,0,0,无法判断,无,,
水泥群,程俊松微信支付转账电子凭证.pdf,260212,pdf,其他,,0,0,无法判断,无,,
水泥群,应急预案附件.docx,260130,docx,其他,,0,65,无法判断,无,临近医院位置图 疏散路线图 应急指挥部位置及救援队伍行动路线 事故影响范围及警戒范围 重点防护目标 警报系统分布 应急消防设施分布,
水泥群,1、241024组织机构+武汉开明.doc,260130,doc,其他,,0,515,无法判断,无,组织机构 组织机构职责： 项目经理：全面负责此次大修的安全、施工质量、施工进度，保证大修进展顺利。 施工负责人：主要负责施工现场的人员、设备、工器具、后勤等全面管理，配合日钢区域负责人做好相关方的沟通,
水泥群,王延军微信支付转账电子凭证.pdf,260212,pdf,其他,,0,0,无法判断,无,,
水泥群,盐湖海纳甘河水泥厂预热器膨胀节脚手架搭设应急预案.docx,260128,docx,其他,,0,3947,无法判断,客户名称,武汉开明 高新科技有限公司 盐湖海纳甘河水泥厂预热器膨胀节脚手架搭设应急预案 3724275 177165 3642360 440690 编制人： 3787775 485140 审核人： 审批人： 武,
水泥群,覃延吉微信支付转账电子凭证.pdf,260212,pdf,其他,,0,0,无法判断,无,,
水泥群,王小兵微信支付转账电子凭证.pdf,260212,pdf,其他,,0,0,无法判断,无,,
水泥群,4600熟料膨胀节更换项目及技术要求(1).pdf,260122,pdf,其他,,0,0,无法判断,客户名称,,
水泥群,彭勇微信支付转账电子凭证.pdf,260212,pdf,其他,,0,0,无法判断,无,,
水泥群,盐湖海纳发货清单1.31.pdf,260131,pdf,清单,物资清单,,,无法判断,无,,高
水泥群,武汉开明23项问题整改.zip,260130,zip,其他,,0,0,无法判断,无,,
化工钢铁群,化工钢铁_合同文本_260603_01.pdf,260603,pdf,合同,合同文本,0,0,无法判断,无,,高
焊接群,工作簿1.xlsx1.xlsx3.xlsx,251112,xlsx,验收报告,验收报告,,,复检,无,,高
